id,created,modified,modified_by,created_by,amc_id,amc_full_name,owner_type,cio,investors_relations_officer,amc_short_name,ceo,management_trustee,start_date,is_excluded,website,address1,address2,address3,city,pin,phone,fax,email,modified_ts
32859,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,16,IndBank Mutual Fund,Public,,,IndBank,,Indian Bank,1989-11-17,t,,"1st Floor, D.G. Chambers","100/104, Nanak Motwani Marg",Fort,Mumbai,400023,022-2671362 / 2672604,,,2022-12-13 11:25:01.139+00
32860,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,18,Pioneer ITI Mutual Fund,Foreign JV,,,Pioneer ITI,,Pioneer ITI Mutual Fund,1993-07-29,t,http://www.pioneeriti.com,"Century Centre,","75, T.T.K. Road,",Alwarpet,Chennai,600018,044-4679200 / 4679204,044-4987790,services@pioneeriti.com,2022-12-13 11:25:01.139+00
32861,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,19,JM Financial Mutual Fund,,,Harish Kukerja,JM,Amitabh Mohanty,JM Financial Trustee Company Limited,1994-09-15,f,http://www.JMFinancialmf.com,"Office B-8th Floor-Cnergy,","Appasaheb Marathe Marg,","Prabhadevi,",Mumbai,400025,022-33797777 / 1800-103-8345,022-26528388,,2022-12-13 11:25:01.14+00
32862,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,20,Jardine Fleming Mutual Fund,Foreign JV,,,Jardine Fleming,,Jardine Fleming Mutual Fund,1995-05-26,t,,"Mafatlal Centre,","9th Floor, Nariman Point",,Mumbai,400021,022-2855666 / 2853031,022-2393098,jfindia.assetmgt@jfam.com,2022-12-13 11:25:01.14+00
32863,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,21,LIC Mutual Fund,,,Mayank Arora,LIC MF,TS Ramakrishnan,LIC Mutual Fund Trustee Company Pvt. Ltd.,1994-04-20,f,http://www.licmf.com,Industrial Assurance Building,"Ground Floor, Opp. Churchgate Station",,Mumbai,400020,022-66016177 / 022-66016178,022-22880633,br.mumbai@licmf.com,2022-12-13 11:25:01.141+00
32864,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,22,Morgan Stanley Mutual Fund,Foreign JV,,,Morgan Stanley,,MM,1993-11-05,t,http://www.morganstanley.com/indiamf,"19th Floor-One Indiabulls Centre,","Tower 2-Jupiter Mills Compound,","Elphinstone Road,",Mumbai,400013,022-61181000,022-61181027,mfinvestorcare@morganstanley.com,2022-12-13 11:25:01.141+00
32865,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,23,PNB Mutual Fund,Public,,,PNB,,Punjab National Bank,1989-08-08,t,http://www.pnbmutualfund.org,"4th Floor, PNB Building","5, Sansad Marg",(Near Patel Chowk),New Delhi,110001,011-3719806 / 3719087 / 3719092 / 3357084,011-3357166,pnbmf@vsnl.com,2022-12-13 11:25:01.142+00
32866,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,25,SBI Mutual Fund,,,Rahul Mayor,SBI,Shamsher Singh,SBI Mutual Fund Trustee Company Private Limited,1987-06-29,f,http://www.sbimf.com,"9th Floor-Crescenzo, C-38 & 39-","G Block, Bandra-Kurla Complex,",Bandra (East),Mumbai,400051,022-61793000 / 1800-425-5425,022-22189663,,2022-12-13 11:25:01.143+00
32867,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,27,Tata Mutual Fund,,,Kashmira Kalwachwala,Tata,Prathit Bhobe,Tata Trustee Company Private Ltd,1995-06-30,f,http://www.tatamutualfund.com,"9th Floor, Mafatlal Centre,","Nariman Point,",,Mumbai,400021,1800-209-0101,,service@tataamc.com,2022-12-13 11:25:01.144+00
32868,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,28,Franklin Templeton Mutual Fund,,,Rini K Krishnan,Franklin Templeton,,Franklin Templeton Trust Services Private Ltd,1996-02-19,f,http://www.franklintempletonindia.com,"Unit No.202/203/204, 2nd Floor","Dalamal Tower, Plot No. 211","Free Press Journal Marg, Nariman Point",Mumbai,400013,1800-425-4255 / 60004255,,,2022-12-13 11:25:01.144+00
32869,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,29,Unit Trust of India,Public,,,UTI-SUUTI,,Unit Trust of India,1964-02-01,t,http://www.unittrustofindia.com,"UTI Towers,","''Gn'' Block, Bandra-Kurla Complex,","Bandra (East),",Mumbai,400051,022-56786666,022-26524921,utidmo@bom3.vsnl.net.in,2022-12-13 11:25:01.145+00
32870,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,181,DSP Mutual Fund,,,Gaurav Nagori,DSP,Kalpen Parekh,DSP Trustee Pvt. Ltd.,1996-12-16,f,https://www.dspim.com/,"NATRAJ, Office No. 302-3rd Floor-Plot No. 194, MV Road Junction","Western Express Highway,",Andheri East,Mumbai,400069,1800-208-4499 / 1800-200-4499,022-56578181,,2022-12-13 11:25:01.145+00
32871,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,184,Anagram Wellington Mutual Fund,Private,,,Anagram,,,1995-06-08,t,,"105, Sakar,1, Opp.Nehru Bridge",Ashram Road,,Ahmedabad,380009,079-440719,,,2022-12-13 11:25:01.146+00
32872,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,185,L&T Mutual Fund,,,,L&T,,L&T Mutual Fund Trustee Ltd.,1996-04-25,t,http://www.lntmf.com,Brindavan,"Plot No. 177, CST Road","Kalina, Santacruz (East)",Mumbai,400098,022-66554000 / 1800-2000-400,022-66554002,,2022-12-13 11:25:01.146+00
32873,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,186,Sahara Mutual Fund,,,,Sahara,,Sahara Mutual Fund,1996-07-18,t,http://www.saharamutual.com,"97-98, 9th Floor, Atlanta",Nariman Point,,Mumbai,400021,022-22047196,022-22047199,,2022-12-13 11:25:01.147+00
32874,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,311,UTI Mutual Fund,,,Somervel Gladston,UTI,Imtaiyazur Rahman,UTI Trustee Company (P) Ltd,2002-11-14,f,http://www.utimf.com,"UTI Tower, Plot C-1, GN Block,","Banrda Kurla Complex, Bandra (East)",,Mumbai,400051,0263 2296993,(0260) 2421315,,2023-05-05 13:55:06.869+00
32875,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,207,Sun F&C Mutual Fund,Private,,,Sun F&C,,Sun F&C Mutual Fund,1995-10-09,t,http://www.sunfc.com,Apeejay Chambers,"Ground Floor, 5 Wallace Street,",Fort,Mumbai,400001,022-22036222,022-22036333,sunfc@bom2.vsnl.net.in,2022-12-13 11:25:01.148+00
32876,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,4,Aditya Birla Sun Life Mutual Fund,,,Rajiv Joshi,Aditya Birla SL,A Balasubramanian,Aditya Birla Capital International Trustee Company Ltd,1994-12-23,f,http://mutualfund.adityabirlacapital.com,"One World Center, Tower 1,","17th Floor, Jupiter Mill Compound","Senapati Bapat Marg, Elphinstone Road",Mumbai,400013,,022-43568110,,2023-05-29 18:55:01.342+00
32877,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,222,Dundee Mutual Fund,Foreign JV,,,Dundee,,Dundee Trust Private Ltd,1998-09-01,t,http://www.dundeemutual.com,"50-B, 3rd Floor, Tower Block","Annexe Building, Ashok Hotel",Chanakyapuri,New Delhi,110021,011-6882705 / 6882710 / 6882740,011-6882713,invest@dundeemutual.com,2022-12-13 11:25:01.149+00
32878,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,225,ING Mutual Fund,Foreign JV,,,ING,,ING Mutual Fund,1999-02-11,t,http://www.ingim.co.in,"601A, 6th Floor","Trade Centre, Bandra Kurla Comlex,","Bandra (East),",Mumbai,400051,022-33857999,022-33857851,www.ingim.co.in,2022-12-13 11:25:01.15+00
32879,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,247,ILFS Mutual Fund,Private,,,IL&FS,,IL&FS Trust Company,1998-01-01,t,http://www.ilfsmf.com,"The IL&FS Financial Centre,","G Block, Plot No. C-22",Bandra (E),Mumbai,400051,022-26533232 / 26533333,022-26523854,coustomercare@ilfsamcindia.com,2022-12-13 11:25:01.15+00
32880,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,14,ICICI Prudential Mutual Fund,Foreign JV,Sankaran Naren,Yatin Suvarna,ICICI Prudential,Nimesh Shah,ICICI Prudential Trust Ltd,1993-10-12,f,http://www.icicipruamc.com,"One BKC ,  A Wing ,","13th Floor, Bandra Kurla Complex,",,Mumbai,400051,,022-26528100,,2023-05-30 11:45:28.59+00
32881,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,317,Quantum Mutual Fund,,,Meera Shetty,Quantum,Jimmy A Patel,Quantum Trustee Company Private Limited,2005-09-19,f,http://www.quantumamc.com,"6th Floor,","Sea Breeze Building,","Appasaheb Marathe Marg, Prabhadevi",Mumbai,400021,1800-209-3863 / 1800-22-3863 / 91-22-61447800,1800-22-3864,,2023-04-05 17:20:01.463+00
32882,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,305,Goldman Sachs Mutual Fund,,,,Goldman Sachs,,Goldman Sachs Trustee Company (India) Pvt. Ltd.,2001-06-12,t,http://www.gsam.in,"951-A, Rational House,","Appasaheb Marathe Marg,","Prabhadevi,",Mumbai,400025,022-66512727 / 1800-266-1220,022-66279245,,2022-12-13 11:25:01.152+00
32883,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,310,Deutsche Mutual Fund,,,,Deutsche,,Deutsche Trustee Services (India) Private Limited,2002-10-28,t,http://www.dws-india.com,"The Capital, 14th Floor-C-70, G Block","Bandra Kurla complex,",,"Mumbai,Maharashtra",400051,+91 22-71804444,+91 22-71804373/4381,dws.mutual@db.com,2022-12-13 11:25:01.153+00
32884,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,312,Baroda BNP Paribas Mutual Fund,,Ritesh Jain,Allwyn D'Silva Monteiro,Baroda BNP Paribas,Suresh Soni,Baroda Trustee India Private Limited,2004-04-15,f,https://www.barodabnpparibasmf.in/,"BNP Paribas House,","7th Floor, G-Block,","Bandra Kurla Complex, Bandra",Mumbai,400051,022-33704000,022-33704294,,2022-12-13 11:25:01.154+00
32885,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,314,Fidelity Mutual Fund,Private,,,Fidelity,,FIL Trustee Company Private Limited,2005-02-17,t,http://www.fidelity.co.in,"6th Floor,","Mafatlal Centre,","Nariman Point,",Mumbai,400021,022-66554108 / 66554013 / 66554107,,investor.line@fidelity.co.in,2022-12-13 11:25:01.154+00
32886,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,187,Sundaram Mutual Fund,,,P Sundararajan,Sundaram,Sunil Subramaniam,Sundaram Trustee Company Ltd.,1996-02-26,f,http://www.sundarammutual.com,"Sundaram Towers No. 46,,1st& 2nd Floor,","Whites Road,",Royapettah,Chennai,600014,1860-425-7237,,,2023-05-04 13:55:03.692+00
32887,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,318,ING Vysya Mutual (Optimix),Foreign JV,,,Optimix,,ING Savings Trust,1999-02-11,t,http://www.optimixnet.com,,,,,,,,,2022-12-13 11:25:01.155+00
32888,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,319,Invesco Mutual Fund,,,Suresh Jakhotiya,Invesco,Saurabh Nanavati,Invesco Trustee Company Pvt. Ltd.,2006-07-24,f,http://www.invescomutualfund.com,"2101 - A-A Wing - 21st Floor,","Marathon Futurex,","N.M. Joshi Marg, Lower Parel,",Mumbai,400013,022-67310000 / 1800-209-0007,022-23019422,,2022-12-13 11:25:01.155+00
32889,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,322,JPMorgan Mutual Fund,,,,JPMorgan,,JPMorgan Fund India Pvt. Ltd.,2007-02-08,t,http://www.jpmorganmf.com,"J.P. Morgan Tower,","Off. C.S.T. Road, Kalina","Santacruz (E),",Mumbai,400098,022-61573000 / 1800-200-5763,,india.investors@jpmorgan.com,2022-12-13 11:25:01.156+00
32890,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,324,PineBridge Mutual Fund,,,,PineBridge,,PineBridge Investments Trustee Company (India) Pvt Ltd,2007-02-09,t,http://www.pinebridge.in,"203,2nd Floor, Peninsula Tower","Peninsula Corporate Park,","G.K Marg, Lower Parel,",Mumbai,400013,022-40930000,022-40930077,india.investorcare@pinebridge.com,2022-12-13 11:25:01.156+00
32891,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,327,Mirae Asset Mutual Fund,,,Girish Dhanani,Mirae Asset,Swarup Anand Mohanty,Mirae Asset Trustee Company Private Ltd.,2007-11-30,f,http://www.miraeassetmf.co.in,"Unit No.606 - 6th Floor,","Windsor Building - Off. CST Road,","Kalina, Santacruz (East),",Mumbai,400098,022-67800301 / 1800-2090-777,,,2022-12-13 11:25:01.157+00
32892,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,329,20th Century Mutual Fund,Private,,,20th Century,,,1993-10-30,t,,,,,,,,,,2022-12-13 11:25:01.157+00
32893,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,330,ITC Threadneedle Mutual Fund,Private,,,ITC Threadneedle,,,1996-06-21,t,,,,,,,,,,2022-12-13 11:25:01.158+00
32894,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,332,Bank of India Mutual Fund,,Alok Singh,Shubro Sankha Das Sarma,Bank of India,Mohit Bhatia,Bank of India Trustee Services Private Limited,2008-03-31,f,https://www.boimf.in/,"B/204-Tower 1,","Peninsula Corporate Park, Ganpatrao Kadam Marg,","Lower Parel,",Mumbai,400013,,,service@boiaxa-im.com,2022-12-13 11:25:01.158+00
32895,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,339,Edelweiss Mutual Fund,,,,Edelweiss,Radhika Gupta,Edelweiss Trusteeship Company Ltd.,2008-04-30,f,http://www.edelweissmf.com,Edelweiss House,"Off C.S.T. Road,",Kalina,Mumbai,400098,+91 22 4093 3400,+91 22-40979878,,2022-12-13 11:25:01.159+00
32896,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,343,Daiwa Mutual Fund,Private,,,Daiwa,,Daiwa Trustee Company (India) Pvt. Ltd.,2009-02-10,t,http://www.daiwafunds.in,"1102 - 11th Floor - Tower 2 - Wing A,","One Indiabulls Centre - 841,","Senapati Bapat Marg, Elphinstone Road (West),",Mumbai - Maharashtra,400013,1800-419-5000 / 022-60005555,022-66100148,investorcare@daiwafunds.in,2022-12-13 11:25:01.159+00
32897,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,10,Taurus Mutual Fund,,,Ramesh S Kabra,Taurus,Rohit Kumar Chawda,Taurus Investment Trust Company Limited,1993-08-20,f,http://www.taurusmutualfund.com,"3rd Floor, 301-304, Chandravillas",Co-op Premises Society Ltd.,"AML Centre 2, 8 Mahal Industrial Estate,Off. Mahakali CavesRoad, Andheri-East,",Mumbai,400093,,022-66242777,,2023-05-04 18:15:25.738+00
32898,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,308,HSBC Mutual Fund,,Tushar Pradhan,Rheitu Bansal,HSBC,Kailash Kulkarni,,2002-05-27,f,http://www.assetmanagement.hsbc.co.in,"9-11th Floor,","NESCO - IT Park Bldg. 3,","Western Express Highway, Goregaon East,",Mumbai,400063,,022-40029600,,2023-05-05 18:15:05.572+00
32899,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,302,HDFC Mutual Fund,,,Yezdi Khariwala,HDFC,Navneet Munot,HDFC Trustee Company Ltd,1999-12-10,f,http://www.hdfcfund.com,"Ground Floor, Mafatlal House,",H.T Parekh Marg,Backbay Reclamation Churchgate,Mumbai,400020,1800-3010-6767 / 1800-419-7676,022-22821144,,2023-05-01 18:35:09.072+00
32900,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,9023,IDBI Mutual Fund,,,S V Durga Prasad,IDBI,Raj Kishore Singh,IDBI MF Trustee Company Ltd.,2010-03-29,f,http://www.idbimutual.co.in,"4th Floor, IDBI Tower,","WTC Complex, Cuffe Parade,","Colaba,",Mumbai,400005,,022-66442801,,2022-12-13 11:25:01.161+00
32901,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,9054,Motilal Oswal Mutual Fund,,,Yatin Dolia,Motilal Oswal,Navin Agarwal,Motilal Oswal Trustee Company Ltd.,2009-12-29,f,http://www.motilaloswalmf.com,"Motilal Oswal Towers - 10th Floor,","Rahimtullah Sayani Road,","Opposite Parel ST Depot, Prabhadevi,",Mumbai,400025,022-39804238 / 1800-200-6626,,,2022-12-13 11:25:01.161+00
32902,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,26,Shriram Mutual Fund,,,,Shriram,Kartik Jain,,1994-12-05,f,https://shriramamc.in/,"511-512, Meadows, Sahar Plaza,","J. B. Nagar, Andheri (East),",,Mumbai,400059,033-23373012 / 9339787128,033-23373014,,2023-05-04 11:45:30.845+00
32903,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,9055,PGIM India Mutual Fund,,Vinay Paharia,Murali Ramasubramanian,PGIM India,Ajit Menon,PGIM India Trustees Private Ltd.,2010-05-13,f,https://www.pgimindiamf.com,"204, 2nd Floor, Jalaram Business Centre,",Ganjawala Lane,"Near Chamunda Circle, Borivali (W)",Mumbai,400092,022-61593000 / 1800-266-2667,,,2023-05-03 13:55:06.572+00
32904,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,10157,PPFAS Mutual Fund,,Rajeev Thakkar,Aalok Mehta,PPFAS,Neil Parag Parikh,PPFAS Trustee Company Pvt.Ltd.,2012-10-10,f,https://amc.ppfas.com/,"81/82, 8th Floor, Sakhar Bhavan,","Ramnath Goenka Marg,",230 Nariman Point,Mumbai,400021,91 22 6140 6555,022-61406590,mf@ppfas.com,2022-12-13 11:25:01.163+00
32905,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,11141,Mahindra Manulife Mutual Fund,,,Pooja Vineet Deherkar,Mahindra Manulife,Anthony Heredia,Mahindra Manulife Trustee Private Limited,2016-02-04,f,http://www.mahindramanulife.com,1st Floor -,"Sadhana House,","570 - P.B. Marg, Worli,",Mumbai,400018,022-66327900,,,2022-12-13 11:25:01.164+00
32906,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,12160,WhiteOak Capital Mutual Fund,Private,,Vasudha Shah,WhiteOak Capital,Aashish P Somaiyaa,WhiteOak Capital Trustee Limited,2018-07-03,f,http://www.whiteoakamc.com,"Unit No. B4, 6th Floor, Cnergy,","Appasaheb Marathe Marg,","Prabhadevi,",Mumbai,400025,180030003060,+91 (22) 69187643,,2022-12-13 11:25:01.164+00
32907,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,12232,ITI Mutual Fund,Private,,C. Balasubramanian,ITI,Hitesh Thakkar,ITI Mutual Fund Trustee Private Ltd.,2018-05-14,f,http://www.itiamc.com,"ITI Asset Mangement Limited,","ITI House, Building no. 36,","Dr. R. K. Shirodkar Marg, Parel,",Mumbai,400012,022-66214999,,mfassist@itiorg.com,2022-12-13 11:25:01.165+00
32908,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,12751,TRUST Mutual Fund,Private,,,TRUST,Sandeep Bagla,Trust AMC Trustee Private Limited,2019-10-07,f,https://www.trustmf.com,"801, G Block, Naman Center,","Bandra Kurla Complex,","Bandra (East),",Mumbai,400051,+91 22 6274 6000,,,2022-12-13 11:25:01.165+00
32909,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,9636,360 ONE Mutual Fund,,Anup Maheshwari,Leena Palkar,360 ONE,,360 ONE Asset Trustee Limited,2010-03-22,f,http://www.iiflmf.com,"IIFL Centre-7th Floor,","Kamala City, Senapati Bapat Marg,","Lower Parel,",Mumbai,400013,+91-22-48765461,022-46464706,service@iiflmf.com,2023-05-08 12:25:01.377+00
32910,2023-06-07 05:00:31.82+00,2023-06-07 05:00:31.82+00,VRAMCSLAMBDA,VRAMCSLAMBDA,13005,Samco Mutual Fund,,Umeshkumar Mehta,,Samco MF,Viraj Gandhi,Samco Trustee Private Limited,2021-09-14,f,https://www.samcomf.com/,"1003 – A Naman Midtown 10th Floor,","Senapati Bapat Marg,","Prabhadevi (west),",Mumbai,400013,,,,2022-12-13 11:25:01.166+00
